County Name,Facility_Name,Full_Address,State,Total
HOUSTON,SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE,DOTHAN,HOUSTON,AL",AL,85901
MARSHALL,MARSHALL MEDICAL CENTERS,"2505 U S HIGHWAY 431 NORTH,BOAZ,MARSHALL,AL",AL,219020
LAUDERDALE,NORTH ALABAMA MEDICAL CENTER,"1701 VETERANS DRIVE,FLORENCE,LAUDERDALE,AL",AL,97612
JEFFERSON,ST. VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,JEFFERSON,AL",AL,1068891
SHELBY,SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH,ALABASTER,SHELBY,AL",AL,808090
JEFFERSON,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500,BIRMINGHAM,JEFFERSON,AL",AL,1068891
DALE,DALE MEDICAL CENTER,"126 HOSPITAL AVE,OZARK,DALE,AL",AL,15277
MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD,MONTGOMERY,MONTGOMERY,AL",AL,2265179
MONTGOMERY,JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET,MONTGOMERY,MONTGOMERY,AL",AL,2265179
LEE,EAST ALABAMA MEDICAL CENTER AND SNF,"2000 PEPPERELL PARKWAY,OPELIKA,LEE,AL",AL,602633
JEFFERSON,UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET,BIRMINGHAM,JEFFERSON,AL",AL,1068891
ELMORE,COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD,TALLASSEE,ELMORE,AL",AL,50510
MADISON,HUNTSVILLE HOSPITAL,"101 SIVLEY RD,HUNTSVILLE,MADISON,AL",AL,412934
ETOWAH,GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE,GADSDEN,ETOWAH,AL",AL,39381
MARION,MARION REGIONAL MEDICAL CENTER,"1256 MILITARY STREET SOUTH,HAMILTON,MARION,AL",AL,1388722
FAYETTE,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH,FAYETTE,FAYETTE,AL",AL,175417
ETOWAH,RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET,GADSDEN,ETOWAH,AL",AL,39381
GREENE,GREENE COUNTY HOSPITAL,"509 WILSON AVENUE,EUTAW,GREENE,AL",AL,127249
TALLAPOOSA,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD,DADEVILLE,TALLAPOOSA,AL",AL,42896
HOUSTON,FLOWERS HOSPITAL,"4370 WEST MAIN STREET,DOTHAN,HOUSTON,AL",AL,85901
JEFFERSON,ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE,BIRMINGHAM,JEFFERSON,AL",AL,1068891
BIBB,BIBB MEDICAL CENTER,"208 PIERSON AVE,CENTREVILLE,BIBB,AL",AL,76899
LAWRENCE,LAWRENCE MEDICAL CENTER,"202 HOSPITAL STREET,MOULTON,LAWRENCE,AL",AL,66787
JACKSON,HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD,SCOTTSBORO,JACKSON,AL",AL,269410
GENEVA,WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE,GENEVA,GENEVA,AL",AL,4260
TALLAPOOSA,RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280,ALEXANDER CITY,TALLAPOOSA,AL",AL,42896
BARBOUR,MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST,EUFAULA,BARBOUR,AL",AL,19537
LIMESTONE,ATHENS LIMESTONE HOSPITAL,"700 WEST MARKET STREET,ATHENS,LIMESTONE,AL",AL,26271
BALDWIN,SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 NORTH MCKENZIE STREET,FOLEY,BALDWIN,AL",AL,85302
MORGAN,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,"1201 7TH STREET SE,DECATUR,MORGAN,AL",AL,147934
FAYETTE,NORTHWEST MEDICAL CENTER,"1530 U S HIGHWAY 43,WINFIELD,FAYETTE,AL",AL,175417
